,Heat Treatment Method,,,,,,Heat Treated Properties,,,,,,,,,Composition,,,,As Built Properties,,,,,,,,LPBF process  parameter,,,,,,,,,,,,,,,,,Mechanical Testing,,,,,
,solution temp,Sol time,ageing temp,ageing time,ageing temp,ageing time,UTS,YS,Elongation,strain hardening,hardness,modulus,Quality,Toughness,n,Si,Al,Mg,Fe,UTS,YS,Elongation,hardness,Modulus,Quality,Support Structure,BT,p/v,power,speed,Hatch ,thickness,Density,,,Direction,,Scanning,spot dia,exposure,pulsing,powder size,Powder mfg,Machine,Geometry,l/d,Strain rate,Estension rate,Density,machining  of sample
,Degrees,hrs,Degrees,hrs,Degrees,hrs,Mpa,Mpa,%,,HV,Gpa,,Mpa,,wt %,wt %,wt %,wt %,Mpa,Mpa,%,HV,Gpa,,,Degrees,,W,mm/s,mm,mm,J/mm3,,,,,,mm,micro sec,nano sec,micron,,,,,per sec,mm/min,%,
,510,6,170,1,,,,,,,105,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,540,6,0,0,,,,,,,70,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,540,6,160,1,,,,,,,105,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,540,6,170,1,,,,,,,105,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
"Ozer, 2019",300,2,0,0,,,322,235,4.9,,102,,425.529412,,,9.8,,0.36,0.14,381,326,3.2,118,,456.7724967,,,0.284615385,370,1300,0.19,0.03,49.93252362,,,,,,,,,47,,EOS M 290,,,,,,
,540,2,160,12,,,283,229,5.6,,98,,395.2282041,,,9.8,,0.36,0.14,,,,,,,,,0.284615385,370,1300,0.2,0.03,47.43589744,,,,,,,,,47,,EOS M 290,,,,,,
"Uzan, 2017",300,2,0,0,,,253,205,18,,,,441.2908758,,,,,,,384,241,6,,,500.7226876,,20,0.4,400,1000,,,#DIV/0!,,,,,"biaxial, 8 mm width",,,,30,,EOS M 280,circular,"35.8, 6.35",,1,98.5,
"Larrosa, 2018",520,5,160,12,,,270,230,1.5,,,,296.4136889,,,10.2,,0.3,0.15,370,250,1,,,370,,,0.170731707,175,1025,0.0975,0.03,58.36981447,60.37616073,94.85094851,V,,"chessboard, 90, bi",0.06,,,25 to 50,TLS Technik,Concept laser M2,circular,,,,,Y
,520,5,160,12,,,270,225,1.7,,,,304.5673382,,,10.2,,0.3,0.15,400,275,1.6,,,430.6179974,,,0.170731707,175,1025,0.0975,0.03,58.36981447,60.37616073,94.85094851,H,,"chessboard, 90, bi",0.06,,,25 to 50,TLS Technik,Concept laser M2,circular,,,,,Y
"Bagherifard, 2018",560,1,160,6,,,265,201,13,,88,73,432.0915028,,,9.8,,0.44,0.24,410,273,2.6,,,472.2460022,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,V,,"chessboard, 67, bi",0.08,,,50,SLM,SLM 500 HL,rectangular,32/7,,0.7 and 2,,
"Casati, 2018",,,,,,,,,,,,,,,,,,,,386,248,8.6,,,526.1747677,,160,0.261538462,340,1300,0.2,0.03,43.58974359,,,H,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,99.4,Y
,,,,,,,,,,,,,,,,,,,,412,228,7,,,538.764706,,160,0.261538462,340,1300,0.2,0.03,43.58974359,,,V,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,99.4,Y
,540,1,160,4,,,323,243,15.3,,,,500.7037146,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,H,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
,540,1,160,4,,,302,223,16,,,,482.6179974,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,V,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
,0,0,160,4,,,471,321,8.6,,,,611.1747677,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,H,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
,0,0,160,4,,,493,292,6,,,,609.7226876,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,V,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
"Colombo, 2019",244,3,0,0,,,344,232,4.2,,,,437.4873936,,,,,,,414,287,5.6,,,526.2282041,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
"Colombo, 2019",244,3,0,0,,,352,204,4.7,,,,452.8146787,,,,,,,419,270,4.1,,,510.9175785,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,290,1.25,0,0,,,315,207,6.3,,,,434.9010824,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,290,1.25,0,0,,,347,189,5.6,,,,459.2282041,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
"Colombo, 2020",170,1.5,0,0,,,437,310,5.4,,,,546.859064,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,0.015/min,,,N
,170,1.5,0,0,,,403,276,3.5,,,,484.6102067,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
